gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
S100A9,MEP,0.00599,1,1,other,0.0,0.015,184
ATP5ME,MEP,0.00591,1,1,other,0.0,0.0148,185
MED12L,MEP,0.005899,1,1,other,0.0,0.0147,186
STMN1,MEP,0.005848,1,1,other,0.0,0.0146,187
ATP5PF,MEP,0.005845,1,1,other,0.0,0.0146,188
PLXDC2,MEP,0.005841,1,1,other,0.0,0.0146,189
ARL15,MEP,0.005819,1,1,other,0.0,0.0145,190
PAN3,MEP,0.00577,1,1,other,0.0,0.0144,191
ST8SIA6,MEP,0.005606,1,1,other,0.0,0.014,192
ATP5PO,MEP,0.005393,1,1,other,0.0,0.0135,193
ANKRD28,MEP,0.005384,1,1,other,0.0,0.0135,194
BDP1,MEP,0.00536,1,1,other,0.0089,0.0,195
MAML3,MEP,0.005359,1,1,other,0.0,0.0134,196
FHIT,MEP,0.005356,1,1,other,0.0,0.0134,197
IGLC3,MEP,0.005343,1,1,immunoglobulin,0.0,0.0243,198
IGLC2,MEP,0.005337,1,1,immunoglobulin,0.0,0.0243,199
SEPTIN7,MEP,0.005109,1,1,other,0.0,0.0128,200
MAP3K5,MEP,0.005011,1,1,other,0.0,0.0125,201
ZFAND3,MEP,0.005003,1,1,other,0.0,0.0125,202
ADK,MEP,0.004996,1,1,other,0.0,0.0125,203
MSI2,MEP,0.00499,1,1,other,0.0,0.0125,204
NOP53,MEP,0.004984,1,1,other,0.0,0.0125,205
JARID2,MEP,0.004973,1,1,tf,0.0,0.0096,206
ATP5MD,MEP,0.00493,1,1,other,0.0,0.0123,207
IMMP2L,MEP,0.004844,1,1,other,0.0,0.0121,208
SSBP2,MEP,0.004786,1,1,other,0.0,0.012,209
FAF1,MEP,0.004709,1,1,other,0.0,0.0118,210
LYN,MEP,0.004581,1,1,other,0.0,0.0115,211
DENND4A,MEP,0.004571,1,1,other,0.0,0.0114,212
EXOC4,MEP,0.004553,1,1,other,0.0,0.0114,213
EIF4G3,MEP,0.00454,1,1,other,0.0,0.0114,214
NUCB2,MEP,0.004518,1,1,other,0.0,0.0113,215
GIHCG,MEP,0.004518,1,1,other,0.0,0.0113,216
ABCC4,MEP,0.004516,1,1,other,0.0,0.0113,217
STAG1,MEP,0.00451,1,1,other,0.0,0.0113,218
HIST1H4C,MEP,0.004414,1,1,other,0.0,0.011,219
CDKAL1,MEP,0.004309,1,1,other,0.0,0.0108,220
CYTOR,MEP,0.004302,1,1,other,0.0,0.0108,221
FCHSD2,MEP,0.004229,1,1,other,0.0,0.0106,222
ATP5F1C,MEP,0.004224,1,1,other,0.0,0.0106,223
PDZD8,MEP,0.004176,1,1,other,0.0,0.0104,224
TAFA2,MEP,0.004175,1,1,other,0.0,0.0104,225
IQGAP2,MEP,0.004172,1,1,other,0.0,0.0104,226
RERE,MEP,0.004088,1,1,other,0.0,0.0102,227
RNASEK,MEP,0.004086,1,1,other,0.0,0.0102,228
SEPTIN6,MEP,0.004052,1,1,other,0.0,0.0101,229
KMT2C,MEP,0.003964,1,1,other,0.0,0.0099,230
ATP5MC1,MEP,0.003937,1,1,other,0.0,0.0098,231
LRMDA,MEP,0.003841,1,1,other,0.0,0.0096,232
